station_id,station,basin,river,admin_region,official_lng,official_lat,snap_lng,snap_lat,snap_source,station_type,important_section
867,衡山(二),长江,湘江,湖南,112.866667,27.233333,112.866667,27.233333,official_coordinate,river,否
1146,衡阳,长江,湘江,湖南,112.65,26.95,112.65,26.95,official_coordinate,river,是
1167,长沙(三),长江,湘江,湖南,112.966667,28.183333,112.966667,28.183333,official_coordinate,river,是
838,鲤鱼塘,长江,湘江,贵州,107.259444,27.433611,107.259444,27.433611,official_coordinate,river,否
961,湘阴,长江,湘江(东支),湖南,112.873417,28.675194,112.873417,28.675194,official_coordinate,river,否
923,溆浦(二),长江,溆水,湖南,110.583333,27.9,110.583333,27.9,official_coordinate,river,否
938,淋溪河,长江,溇水,湖南,110.383333,29.633333,110.383333,29.633333,official_coordinate,river,否
939,长潭河,长江,溇水,湖南,111.016667,29.466667,111.016667,29.466667,official_coordinate,river,否
940,双枫潭,长江,溹水,湖南,110.666667,29.483333,110.666667,29.483333,official_coordinate,river,否
1148,六合,长江,滁河,江苏,118.8399,32.3402,118.8399,32.3402,official_coordinate,river,否
1145,古河,长江,滁河,安徽,117.96375,31.902694,117.96375,31.902694,official_coordinate,river,否
1345,晓桥,长江,滁河,江苏,118.547113,32.156024,118.547113,32.156024,official_coordinate,river,是
1344,襄河口闸,长江,滁河,安徽,118.353262,32.034476,118.353262,32.034476,official_coordinate,river,是
969,黄陂,长江,滠水,湖北,114.383333,30.883333,114.383333,30.883333,official_coordinate,river,否
997,元墩,长江,漾家河,陕西,106.65,33.03,106.65,33.03,official_coordinate,river,否
682,木家桥,长江,漾弓江,云南,100.2756,26.7824,100.2756,26.7824,official_coordinate,river,否
683,鹤庆,长江,漾弓江,云南,100.2185,26.5016,100.2185,26.5016,official_coordinate,river,否
872,道县(二),长江,潇水,湖南,111.583333,25.516667,111.583333,25.516667,official_coordinate,river,否
934,张家界,长江,澧水,湖南,110.466667,29.133333,110.466667,29.133333,official_coordinate,river,否
933,桑植(三),长江,澧水,湖南,110.15,29.4,110.15,29.4,official_coordinate,river,否
937,津市(二),长江,澧水,湖南,111.85,29.633333,111.85,29.633333,official_coordinate,river,否
1228,石门,长江,澧水,湖南,111.383333,29.616667,111.383333,29.616667,official_coordinate,river,是
950,石龟山,长江,澧水,湖南,112,29.4,112,29.4,official_coordinate,river,否
935,篢子头,长江,澧水,湖南,110.95,29.383333,110.95,29.383333,official_coordinate,river,否
932,凉水口,长江,澧水(北源),湖南,110.083333,29.566667,110.083333,29.566667,official_coordinate,river,否
1054,花园,长江,澴水,湖北,113.965811,31.251726,113.965811,31.251726,official_coordinate,river,否
1068,羊信江,长江,濂水,江西,115.385028,25.310639,115.385028,25.310639,official_coordinate,river,否
772,弥陀,长江,濑溪河,重庆,105.683333,29.55,105.683333,29.55,official_coordinate,river,否
773,福集,长江,濑溪河,四川,105.373901,29.140953,105.373901,29.140953,official_coordinate,river,否
769,元滩湾,长江,濛溪河,四川,104.954092,29.844131,104.954092,29.844131,official_coordinate,river,否
871,灌阳,长江,灌江,广西,111.135,25.474,111.135,25.474,official_coordinate,river,否
697,七星桥,长江,牛栏江,云南,103.31539,25.53794,103.31539,25.53794,official_coordinate,river,否
698,小河,长江,牛栏江,云南,103.1978,27.2295,103.1978,27.2295,official_coordinate,river,否
711,二郎坝,长江,牛渡河,贵州,106.346944,28.156389,106.346944,28.156389,official_coordinate,river,否
1004,西乡,长江,牧马河,陕西,107.75,32.98,107.75,32.98,official_coordinate,river,否
841,下湾,长江,独木河,贵州,107.164629,26.539328,107.164629,26.539328,official_coordinate,river,否
931,永顺,长江,猛洞河,湖南,109.833333,29.016667,109.833333,29.016667,official_coordinate,river,否
995,铁锁关,长江,玉带河,陕西,106.41,32.88,106.41,32.88,official_coordinate,river,否
768,北斗,长江,球溪河,四川,104.434444,30.018611,104.434444,30.018611,official_coordinate,river,否
1071,石城,长江,琴江,江西,116.361722,26.3615,116.361722,26.3615,official_coordinate,river,否
706,牛街,长江,白水江,云南,104.4784,27.8518,104.4784,27.8518,official_coordinate,river,否
735,杨柳坪,长江,白沙河,四川,103.591461,31.028651,103.591461,31.028651,official_coordinate,river,否
1039,南阳,长江,白河,河南,112.616944,33.016944,112.616944,33.016944,official_coordinate,river,否
1040,新店铺,长江,白河,河南,112.316667,32.416667,112.316667,32.416667,official_coordinate,river,否
1038,白土岗,长江,白河,河南,112.4,33.433055,112.4,33.433055,official_coordinate,river,否
1022,白岩,长江,白石河,陕西,110.07,32.77,110.07,32.77,official_coordinate,river,否
789,三磊坝（二）,长江,白龙江,四川,105.65,32.416667,105.65,32.416667,official_coordinate,river,否
787,武都,长江,白龙江,甘肃,104.920833,33.389444,104.920833,33.389444,official_coordinate,river,否
785,白云,长江,白龙江,甘肃,103.393889,34.010278,103.393889,34.010278,official_coordinate,river,否
788,碧口,长江,白龙江,甘肃,105.245278,32.751944,105.245278,32.751944,official_coordinate,river,否
786,舟曲,长江,白龙江,甘肃,104.356944,33.781944,104.356944,33.781944,official_coordinate,river,否
1130,岳西,长江,皖水,安徽,116.35275,30.852861,116.35275,30.852861,official_coordinate,river,否
1127,石牌,长江,皖河中下游,安徽,116.651528,30.427944,116.651528,30.427944,official_coordinate,river,否
764,高景关,长江,石亭江,四川,104.032997,31.2845,104.032997,31.2845,official_coordinate,river,否
843,石阡(二),长江,石阡河,贵州,108.237859,27.533709,108.237859,27.533709,official_coordinate,river,否
680,下桥头,长江,硕多岗河,云南,100.0497,27.1898,100.0497,27.1898,official_coordinate,river,否
1123,东山,长江,秦淮河,江苏,118.820369,31.952723,118.820369,31.952723,official_coordinate,river,否
1074,坝上,长江,章水,江西,114.943833,25.813611,114.943833,25.813611,official_coordinate,river,否
767,涌泉,长江,索溪-资水河（阳化河）,四川,104.849121,30.383367,104.849121,30.383367,official_coordinate,river,否
980,五岔,长江,綦江,重庆,106.467819,29.111022,106.467819,29.111022,official_coordinate,river,是
930,红岩溪,长江,红岩溪,湖南,109.616667,29.283333,109.616667,29.283333,official_coordinate,river,否
835,织金,长江,织金河,贵州,105.768511,26.662506,105.768511,26.662506,official_coordinate,river,否
1064,瑞金,长江,绵水,江西,116.036167,25.867639,116.036167,25.867639,official_coordinate,river,否
763,汉王场,长江,绵远河,四川,104.160398,31.463205,104.160398,31.463205,official_coordinate,river,否
702,美姑,长江,美姑河,四川,103.012461,28.115616,103.012461,28.115616,official_coordinate,river,否
1035,米坪,长江,老灌河,河南,111.366944,33.583055,111.366944,33.583055,official_coordinate,river,否
1036,西峡,长江,老灌河,河南,111.483055,33.266944,111.483055,33.266944,official_coordinate,river,否
1126,黄桥,长江,老龙河,江苏,120.218333,32.249444,120.218333,32.249444,official_coordinate,river,否
878,永兴(二),长江,耒水,湖南,113.120528,26.123944,113.120528,26.123944,official_coordinate,river,否
879,耒阳,长江,耒水,湖南,112.866667,26.416667,112.866667,26.416667,official_coordinate,river,否
811,长滩桥,长江,肖溪河(东滩河）,四川,106.804,30.704349,106.804,30.704349,official_coordinate,river,否
919,大菜园二(水位),长江,舞阳河,贵州,108.4005,27.04325,108.4005,27.04325,official_coordinate,river,否
918,施秉,长江,舞阳河,贵州,108.1256,27.04094,108.1256,27.04094,official_coordinate,river,否
920,玉屏(崇滩),长江,舞阳河,贵州,108.932014,27.259312,108.932014,27.259312,official_coordinate,river,否
